timestamp_utc,requisito,archivo,observacion
2026-09-26T01:02:47Z,QEMU-PERSISTENCE,evidence/qemu/alpine-install.txt,"Instalación con repositorio HTTPS oficial mediante setup-disk -m sys /dev/vda; salida 0 en qcow2 dedicado de 2 GiB."
2026-09-26T01:02:47Z,QEMU-PERSISTENCE,evidence/qemu/persistent-ids.json,"Identificadores del proyecto qemu-persistent-poc, template HDA virtio y nodo persistente."
2026-09-26T01:02:47Z,QEMU-PERSISTENCE,evidence/qemu/persistent-reboot.json,"Tras poweroff e inicio por API, el marcador persistent-proof-2026-09-26 fue leído por consola serie."
2026-09-26T01:48:00Z,QEMU-RESTORE,evidence/qemu/restore-test.json,"Respaldo verificado por SHA-256 y restaurado en proyecto aislado 76e2aa7f; VM arrancó Alpine 3.22 desde overlay rebasado y el marcador original se leyó tras login root."
2026-09-26T02:00:00Z,QEMU-MIGRATION,evidence/qemu/migration-to-workspaces.json,"Estado GNS3 migrado a /workspaces/.gns3-data/GNS3 con symlinks; daemon reiniciado, 3 proyectos registrados, marcador leído post-migración."
2026-09-26T02:10:00Z,QEMU-REBUILD,evidence/qemu/rebuild-survival.json,"Rebuild estándar del Codespace ejecutado; respaldo y árbol persistente sobrevivieron, daemon registró 3 proyectos y el marcador se leyó tras arrancar la VM."
2026-09-26T02:30:00Z,VLAN-POC,evidence/vlan-poc-connectivity.json,"sw1 access VLAN10 (E0,E2) / VLAN20 (E1); ping intra-VLAN10 vpc-a->vpc-c 5/5 (~0.3ms)."
2026-09-26T02:35:00Z,VLAN-POC,evidence/vlan-poc-isolation.json,"Misma subred 10.10.10.0/24, distintas VLAN: cruzado vpc-a->vpc-b (VLAN20) host not reachable; control intra-VLAN OK ⇒ aislamiento L2 por VLAN."
2026-09-26T02:33:00Z,VLAN-TRUNK,evidence/vlan-trunk-pings.json,"ping vpc-a->vpc-d (VLAN10 via trunk sw1-sw2) 5/5; vpc-a->vpc-e (VLAN20 misma subred) 0 respuestas."
2026-09-26T02:34:00Z,VLAN-TRUNK,evidence/vlan-trunk.pcap,"Captura del trunk sw1:E3<->sw2:E2 (link f7dcfadf) durante tráfico intra-VLAN10."
2026-09-26T02:34:00Z,VLAN-TRUNK,evidence/vlan-trunk-pcap-analysis.json,"25 tramas 802.1Q (0x8100), todas vlan 10: ARP + 5 pares ICMP echo; aislamiento verificado."
2026-09-26T02:55:00Z,UTPLAB,evidence/utp-lab-connectivity.json,"utp-network-lab: VLAN10 pc-a10->pc-d10 via trunk 5/5; DMZ pc-dmz->web1 (172.16.0.20) 5/5."
2026-09-26T03:00:00Z,UTPLAB,evidence/web1-reboot-ip-persist.json,"web1 (QEMU Alpine) con IP estática 172.16.0.20/24; fix networking runlevel; responde ping tras stop/start por API."
2026-09-26T03:35:00Z,APP-SVC,evidence/web-service-dmz.json,"HTTP one-shot (busybox nc) en web1:80; auto-arranque tras reboot API; GET real desde client1 (172.16.0.21) en VLAN200 devuelve marcador. Reemplaza evidencia web1-httpd.json eliminada por falso positivo."
2026-09-26T03:55:00Z,NET-ROUTING,evidence/fw1-vlan-ifs.json,"fw1 router-on-a-stick: subinterfaces dot1q VLAN 10/20/40/99/200/300 con gateways e ip_forward persistente."
2026-09-26T04:00:00Z,NET-ROUTING,evidence/utp-lab-routing.json,"pc-dmz<->pc-a10 cross-VLAN 5/5 ambos sentidos vía fw1; control intra-VLAN10 trunk 5/5."
2026-09-26T04:20:00Z,NET01-DNS01,evidence/utp-lab-dhcp-dns-fw.json,"DHCP pools VLAN10/40 con gw y DNS; resolución web1.lab.local; ICMP permitido ventas->DMZ; FW04 y FW03 drops verificados."
2026-09-26T04:22:00Z,SEC01,evidence/fw1-ruleset-dnsmasq.txt,"nft list ruleset + dnsmasq.conf en fw1 (matriz FW01-FW06 aplicada)."
2026-09-26T04:35:00Z,VLAN-COVERAGE,evidence/utp-lab-vlan-coverage.json,"Hosts en VLAN20/99/300; DHCP admin; FW03-FW06 con evidencia: admin→gestión permitida, inv/wan→gestión y icmp a DMZ bloqueados; regresión ventas→DMZ OK."
2026-09-26T04:20:00Z,TOPO,evidence/utp-lab-ids.json,"IDs actualizados: fw1 recreado (a976180b), pc-inv40, pc-admin20, pc-mgmt99, pc-wan300."
2026-09-26T05:35:00Z,SMB01,evidence/utp-lab-smb.json,"Matriz SMB verificada: admin1 RW general, ventas1 denegado en general (NT_STATUS_ACCESS_DENIED), ventas1 RW en share ventas; via fw1 desde VLAN20."
2026-09-26T05:35:00Z,SMB01,evidence/smb-tests.txt,"Salidas crudas smbclient (t1-t6) + DHCP de admin-vm."
2026-09-26T06:05:00Z,VPN01-VPN02,evidence/utp-lab-vpn.json,"Túnel WireGuard entre wan-vpn (10.50.0.2) y fw1 (10.50.0.1) sobre VLAN300 WAN; ping túnel 4/4 y ping a DMZ 172.16.0.20 a través de wg0 4/4."
2026-09-26T06:05:00Z,VPN01-VPN02,evidence/vpn-tests.txt,"Salida wg show, pings por wg0 y tabla de rutas en wan-vpn."
2026-09-26T06:15:00Z,IDS01,evidence/ids-fastlog.txt,"Salidas de fast.log de Suricata 7.0.10 mostrando alertas del tráfico cruzando fw1 (ICMP invitados->DMZ y TCP 445 admins->DMZ)."
2026-09-26T12:13:00Z,OPS01,evidence/OPS01-restart.txt,"PASS: API restart de web1 y admin-vm; comparación antes/después idéntica para interfaces, Samba, shares y HTTP; admin-vm con DHCP/SMB persistente. Boot QEMU TCG lento (~50s) como causa de fallo inicial de consola."
2026-09-26T13:10:00Z,MON01,evidence/mon01-queries.txt,"Consultas Prometheus con TS a node_load1, probe_duration_seconds y probe_success; dashboard Grafana real uid c69790a9 (datasource Prometheus); PNG renderer indisponible bajo TCG."
2026-09-26T13:27:00Z,MON02,evidence/mon02-webdown-alert.json,"Kill HTTP web1 13:21:13Z→Web1Down firing (activeAt 13:21:27Z)→restore 13:24:12Z→probe_success=1 13:24:35Z; detección 22s, recuperación 23s."
2026-09-26T13:27:00Z,MON02,evidence/mon02-probe-timeline.json,"query_range probe_success: zeros 13:21:35-13:24:20, unos desde 13:24:35Z."
2026-09-26T17:07:32Z,APP01,evidence/APP01-crud.txt,"Flask/Gunicorn on client1 and PostgreSQL 16 on mon1: item 1 persisted after DB and application stop/start; credentials excluded."
2026-09-26T17:14:52Z,DB01,evidence/DB01-isolation.txt,"SCRAM role accepted from client1 (.21); HBA rejected web1 (.20) and invalid password; shared-L2 source restriction is not firewall isolation."
2026-09-26T17:26:27Z,DNS01,evidence/DNS01-dns.txt,"admin-vm VLAN20 queried fw1 dnsmasq 192.168.20.1:53 using DNS wire format: UDP/TCP A and PTR responses parsed as NOERROR."
2026-09-26T17:47:46Z,VPN01,evidence/VPN01-wan.txt,"WAN WireGuard peer handshake, IP and routes active; DMZ access permitted; temporary wg0-to-management attempt denied with nft counter 0→3; temporary route and AllowedIPs removed."
2026-09-26T17:37:19Z,SEC01-IPv6,evidence/SEC01-ipv6.txt,"Temporary ULA IPv6 bypass test: administrative forwarding to web1 0/3, ip6 forward counter +3, addresses/routes cleaned and forwarding restored; does not complete the IPv4 SEC01 matrix."
2026-09-26T17:57:57Z,NET01,evidence/NET01-dhcp.txt,"DHCP DDORA verified IP, /24 mask, gateway, DNS and 43200-second lease in VLAN10/20/40; VLAN20 renewal retained 192.168.20.141 and extended expiry 1790488524 to 1790488612."
2026-09-26T18:08:47Z,NET04,evidence/NET04-acl.txt,"Permitted LAN and management ICMP controls were healthy; guest ICMP and SMB were blocked with nft counters while admin SMB remained healthy."
2026-09-26T18:08:47Z,SEC01,evidence/SEC01-fw.txt,"Representative FW01-FW06 origin/destination tests and nft counters, plus IPv6 bypass control; temporary ULA/routes were cleaned and forwarding restored to 0."
